food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Onion Pakora,Vegetarian,Western,Snack,265,5,26,12,ibs,38,2.9,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta,Vegetarian,Asian,Snack,509,17,25,29,ibs,33,1.5,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Bhurji Deluxe,Non-Vegetarian,Mediterranean,Lunch,394,19,8,22,ibs,47,4.4,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Oatmeal Deluxe,Vegan,Indian,Snack,332,11,47,6,"obesity,pcos",39,1.4,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Mild,Vegetarian,Mediterranean,Snack,210,4,39,8,"obesity,thyroid",46,2.9,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dal Makhani Mild,Vegetarian,Western,Lunch,410,20,34,15,general,41,1.5,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Hummus with Veggies Mild,Vegan,Mediterranean,Breakfast,203,6,27,11,"hypertension,heart",43,1.9,"Low Sodium, Heart Healthy","High Saturated Fat, Sodium, High Sodium, Processed",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala,Vegetarian,Asian,Lunch,256,5,25,17,heart,36,2.6,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Biryani,Vegan,Asian,Lunch,370,12,57,7,obesity,47,2,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings with Gravy,Non-Vegetarian,Asian,Snack,297,20,9,22,"heart,obesity",66,3.4,"Heart Healthy, Weight Management","High Calorie, Processed, High Saturated Fat, Sodium",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll,Non-Vegetarian,Mediterranean,Lunch,252,13,26,10,ibs,33,4.2,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Deluxe,Vegetarian,Asian,Breakfast,640,15,67,20,"pcos,obesity",44,2.7,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Biryani Mild,Vegan,Western,Lunch,349,14,74,7,heart,37,1.4,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings Deluxe,Non-Vegetarian,Indian,Lunch,375,27,8,19,pcos,80,5,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet,Vegetarian,Asian,Lunch,172,5,24,8,pcos,47,1.8,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji Dry,Vegetarian,Western,Lunch,447,12,60,11,pcos,47,2.9,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa Dry,Vegetarian,Mediterranean,Snack,215,4,30,9,diabetes,36,2.3,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs Dry,Non-Vegetarian,Asian,Dinner,461,24,11,32,heart,45,3.6,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Biryani Spicy,Vegetarian,Indian,Dinner,445,13,69,9,diabetes,46,2.9,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry Dry,Vegan,Asian,Dinner,334,18,55,8,pcos,38,1.8,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla,Vegetarian,Western,Lunch,202,6,35,3,"pcos,heart",43,2,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll Dry,Non-Vegetarian,Western,Dinner,227,18,31,11,ibs,42,4.1,Low FODMAP,High FODMAP,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Oats Porridge Spicy,Vegetarian,Western,Lunch,279,16,51,7,hypertension,43,2.8,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Prawn Curry Deluxe,Non-Vegetarian,Asian,Lunch,342,29,16,21,general,75,4.4,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Spicy,Vegan,Mediterranean,Lunch,254,7,38,6,hypertension,39,1.9,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken,Non-Vegetarian,Asian,Lunch,437,32,8,22,diabetes,86,4.2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri,Vegetarian,Mediterranean,Lunch,189,4,33,2,hypertension,39,2,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Biryani,Vegan,Indian,Breakfast,396,12,78,8,"pcos,ibs",32,1.9,"Anti-inflammatory, Low FODMAP","High Sugar, Processed Foods, High FODMAP",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji Spicy,Vegetarian,Asian,Lunch,352,10,71,12,"ibs,hypertension",39,2.6,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry Spicy,Vegan,Western,Lunch,388,16,51,9,ibs,41,1.4,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Hummus with Veggies Dry,Vegan,Western,Dinner,183,6,24,8,pcos,37,1,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thali,Vegan,Indian,Lunch,382,16,73,11,"obesity,pcos",57,3.1,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Main Meal,"Prepare Vegan Thali 262 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav with Gravy,Vegetarian,Western,Dinner,322,7,34,10,"thyroid,ibs",39,2.2,"Balanced Iodine, Low FODMAP","High FODMAP, Goitrogenic Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Spicy,Vegan,Mediterranean,Dinner,309,9,26,17,"heart,thyroid",35,1.8,"Balanced Iodine, Heart Healthy","High Saturated Fat, Sodium, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Lunch,463,19,66,14,hypertension,50,1.6,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare Vegetarian Thali 432 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry,Non-Vegetarian,Mediterranean,Breakfast,404,19,16,22,general,43,4.1,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Tikka Masala with Gravy,Non-Vegetarian,Western,Dinner,415,39,19,24,heart,69,4.2,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Bhurji with Gravy,Non-Vegetarian,Western,Lunch,389,27,10,21,"obesity,pcos",34,3.3,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl Spicy,Vegan,Mediterranean,Lunch,289,8,45,5,obesity,45,1.7,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Biryani Mild,Vegetarian,Western,Lunch,458,14,81,8,"thyroid,general",46,2.1,"Balanced Iodine, General Health","Excessive Processing, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Idli Sambar,Vegetarian,Indian,Lunch,327,12,44,4,heart,34,2.8,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Dry,Vegetarian,Asian,Snack,236,8,33,4,"general,diabetes",44,2.5,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Mild,Vegetarian,Mediterranean,Lunch,167,9,37,3,heart,36,2.4,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Spicy,Vegetarian,Asian,Dinner,562,16,29,27,diabetes,35,1.5,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kachori Dry,Vegetarian,Western,Lunch,280,5,26,10,general,33,1.8,General Health,Excessive Processing,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Onion Pakora,Vegetarian,Western,Snack,277,5,26,10,diabetes,39,2.7,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Stroganoff Deluxe,Vegan,Mediterranean,Dinner,390,13,38,14,general,47,1.9,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature with Gravy,Vegetarian,Mediterranean,Dinner,479,21,86,21,diabetes,34,2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Spicy,Non-Vegetarian,Mediterranean,Dinner,525,37,12,28,general,74,4.5,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Mild,Vegetarian,Indian,Breakfast,337,7,24,15,general,32,1.9,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
